id: 351, nationality: Taiwan, gender: 0, preferences: ['I', 'G', 'C']
id: 334, nationality: Taiwan, gender: 0, preferences: ['I', 'S', 'G']
id: 331, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'H']
id: 319, nationality: Taiwan, gender: 0, preferences: ['I', 'S', 'H']

id: 304, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']
id: 302, nationality: Taiwan, gender: 0, preferences: ['I', 'H', 'S']
id: 300, nationality: Taiwan, gender: 0, preferences: ['I', 'H', 'G']
id: 299, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'H']

id: 289, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']
id: 280, nationality: Taiwan, gender: 0, preferences: ['I', 'S', 'G']
id: 277, nationality: Taiwan, gender: 0, preferences: ['I', 'G', 'C']
id: 271, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'S']

id: 258, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']
id: 254, nationality: Taiwan, gender: 0, preferences: ['I', 'S', 'G']
id: 238, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'H']
id: 232, nationality: Taiwan, gender: 0, preferences: ['I', 'S', 'H']

id: 227, nationality: Taiwan, gender: 0, preferences: ['I', 'S', 'G']
id: 222, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']
id: 216, nationality: Taiwan, gender: 0, preferences: ['I', 'G', 'S']
id: 214, nationality: Taiwan, gender: 0, preferences: ['I', 'G', 'S']

id: 193, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'H']
id: 192, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']
id: 42, nationality: Taiwan, gender: 0, preferences: ['I', 'S', 'C']
id: 38, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']

id: 36, nationality: Taiwan, gender: 0, preferences: ['I', 'H', 'G']
id: 35, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'S']
id: 32, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']
id: 19, nationality: Taiwan, gender: 0, preferences: ['I', 'C', 'G']

id: 704, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'S']
id: 703, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 692, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'G']
id: 686, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'S']

id: 669, nationality: Taiwan, gender: 0, preferences: ['H', 'I', 'G']
id: 666, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 658, nationality: Taiwan, gender: 0, preferences: ['H', 'E', 'S']
id: 649, nationality: Taiwan, gender: 0, preferences: ['H', 'S', 'C']

id: 644, nationality: Taiwan, gender: 0, preferences: ['H', 'I', 'C']
id: 640, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']
id: 627, nationality: Taiwan, gender: 0, preferences: ['H', 'S', 'I']
id: 624, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']

id: 608, nationality: Taiwan, gender: 0, preferences: ['H', 'I', 'S']
id: 604, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'S']
id: 598, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'I']
id: 579, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'E']

id: 569, nationality: Taiwan, gender: 0, preferences: ['H', 'I', 'C']
id: 566, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'S']
id: 564, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'I']
id: 550, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'G']

id: 549, nationality: Taiwan, gender: 0, preferences: ['H', 'G', 'C']
id: 546, nationality: Taiwan, gender: 0, preferences: ['H', 'C', 'S']
